"card","elo","mainboard","pickrate","picks","mainboards"
"32e5339e-9e4f-46f8-b305-f9d6d3ba8bb5","1528","1","0.13725490196078433","14","2"
"e49d745c-5130-4b54-bcbb-643b08528456","1200","0.875","0.0989010989010989","18","7"
"f3c7af78-a77d-4134-82a2-a5ce84285a84","1558","1","0.15306122448979592","15","8"
"9d63ba8a-a5cd-4fdb-bba3-95612be0077c","1042","0.3333333333333333","0.12992125984251968","33","3"
"eb9c9a34-88a8-4afe-a053-806f6b29834f","1086","1","0.1337579617834395","21","6"
"222fd9fc-7af4-4269-bbb9-cd7b8ac029bd","1356","1","0.12149532710280374","13","8"
"4df0d381-fc05-4d30-9307-48963aa2ecfd","1316","0.75","0.06962025316455696","11","6"
"16437a83-be52-44cd-a768-a767c9347eb2","1052","1","0.09090909090909091","13","3"
"89c83a6d-f6c8-4984-a888-0db62dfb93b1","950","1","0.043795620437956206","6","2"
"20283c4a-f1f0-42f0-bc08-6da87474426b","1278","1","0.05309734513274336","6","1"
"ed14be15-8f8d-4fe3-a147-f5da8ed873bf","886","1","0.05042016806722689","6","1"
"4001b868-ada1-43f4-92e2-27ab0e80c913","802","0","0.1043956043956044","19","0"
"165bdc68-1da0-47db-a069-978fc4c04b3f","1122","0.1","0.10067114093959731","30","1"
"4567a528-75f0-4ea6-b927-3a500caf76ac","1414","1","0.0958904109589041","14","3"
"dbcbdf37-c40f-4068-b4a7-a849cab1056c","1122","0.5","0.125","35","5"
"cf0dcb27-f02e-4065-81dc-75fbbb09ea3f","1234","0.875","0.06666666666666667","12","7"
"8104e454-77f5-4d38-894e-41ed0d74c17c","1176","0.8","0.1291866028708134","27","4"
"68954295-54e3-4303-a6bc-fc4547a4e3a3","1588","1","0.10897435897435898","17","7"
